"nom_ent","nom_mun","mun_inegi","anio","pobtot","cs_revenue_perCapita","cs_total_general_fund","cs_intergov_revs_total_revs","cs_propety_tax_total_revs","bs_operating_exp","bs_operating_balance","bs_expenditure_perCapita","lrs_direct_long_term_debt_pobtot","lrs_debt_service_total_rev","mun_tipo","graproes","pea","pe_inac","pocupada","pdesocup","psinder","pder_ss","analf","sbasc","ovsde","ovsee","ovsae","ovpt","vhac","pl.5000","po2sm","im_2020","gm_2020","imn_2020","egresos_total_de_egresos","egresos_servicios_personales","egresos_materiales_y_suministros","egresos_servicios_generales","egresos_transferencias_asignaciones_subsidios_y_otras_ayudas","egresos_bienes_muebles_inmuebles_e_intangibles","egresos_inversion_publica","egresos_deuda_publica","ingresos_total_de_ingresos","ingresos_impuestos","ingresos_contribuciones_de_mejoras","ingresos_derechos","ingresos_productos","ingresos_aprovechamientos","ingresos_participaciones_federales","ingresos_aportaciones_federales_y_estatales","ingresos_financiamiento","egresos_disponibilidad_final","egresos_otros_egresos","ingresos_otros_ingresos","ingresos_disponibilidad_inicial","egresos_inversiones_financieras_y_otras_provisiones","prop_corrup_per17","prop_corrup_inc17","prop_corrup5_inc17","prop_corrup_per19","prop_corrup_inc19","prop_corrup5_inc19","prop_corrup_per21","prop_corrup_inc21","prop_corrup5_inc21"
"Baja California Sur","Loreto","03009",2018,18052,14767.008032,0.201684,0.675837,0.144914,0.790431,0.929797,14767.008032,397.812154,0.026939,"transición_rural-urbano",9.99,9069,5276,8976,93,2378,15634,2.212159,26.031859,1.020006,0.79459,2.857143,3.759865,19.351351,9.644361,56.7009,58.819312,"Muy bajo",0.921029,266574029,186650833,20193974,24576158,11858116,450922,15662721,7181305,266574029,38972848,0,5840116,0,5176402,150926852,46943638,18714173,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campeche","Calkiní","04001",2018,59232,4719.29376,0.045267,2.419175,0.0161,1.584836,1,4719.29376,104.983219,0.022246,"urbano",9.4,30100,16515,29943,157,10632,48492,9.262274,31.881454,7.371415,0.619646,1.79291,2.072258,33.951874,28.344476,78.99684,55.381282,"Bajo",0.867194,279533208,89329439,23325421,62181829,18222360,2200854,60648326,6218366,279533208,4571131,0,6622800,326225,1133374,142658489,124221189,0,17406613,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campeche","Campeche","04002",2018,294077,5078.276863,0.295084,24.416119,0.048429,23.352904,0.987375,5078.276863,676.81038,0.133276,"metropolitano",10.72,149442,89926,147105,2337,57005,236338,3.308902,22.971498,0.716927,0.340677,0.655017,0.980697,24.155493,9.925292,67.749146,58.640701,"Muy bajo",0.918232,1493404425,536332006,88990534,368848744,235075266,2313202,62810307,199034366,1493404425,98596258,0,253648311,74494612,8377437,612832344,426601734,18853729,0,0,0,0,0,29.464970427876587,10.961214165261383,13.011426942709816,NA,NA,NA,NA,NA,NA
"Campeche","Carmen","04003",2018,248845,6827.994724,0.184599,7.140147,0.053045,6.286493,0.845592,6827.994724,1435.129912,0.210183,"metropolitano",10.26,125297,70830,122704,2593,57600,187057,3.928864,26.493564,0.666552,0.663278,5.758929,2.418576,27.367546,14.859451,55.028952,58.095083,"Muy bajo",0.909688,1699112347,647436580,73598413,310432523,89767348,9472520,159110089,357124903,1699112347,99093264,0,116307284,6976364,42846011,695379615,476152814,262356995,52169971,0,0,0,0,34.93726602714085,12.096774193548388,12.40340601466752,NA,NA,NA,NA,NA,NA
"Campeche","Champotón","04004",2018,78170,5767.622425,0.10273,5.240072,0.035667,3.675139,1,5767.622425,233.467583,0.040479,"urbano",8.12,37660,22243,37377,283,18824,59276,8.82638,39.009828,2.87374,1.269524,2.958375,3.286487,35.452847,54.203659,81.915478,54.832599,"Bajo",0.858602,450855045,165121914,52895515,65706795,42689382,2911031,101768915,18250161,450855045,16568245,230867,13757070,135384,15624931,218738180,185800368,0,1511332,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campeche","Hecelchakán","04005",2018,31917,5074.092521,0.033339,0.066532,0.014385,0.043233,1,5074.092521,101.797506,0.020062,"urbano",9.27,15272,9762,15118,154,7095,24819,8.412576,30.964619,5.38177,0.501505,2.288114,1.332163,33.156372,34.122881,80.449949,55.686005,"Bajo",0.871965,161949811,59980506,11476498,30270588,24651520,345239,31254933,3249071,161949811,2338895,0,1262204,57786,1740335,92957368,63593223,0,721456,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campeche","Hopelchén","04006",2018,42140,7577.503037,0.050031,1.523518,0.008126,0.636687,1,7577.503037,73.978477,0.009763,"urbano",7.5,20160,11382,20052,108,9503,32565,8.303448,42.965293,7.927671,1.220557,1.213419,2.605282,39.531921,80.901756,86.208932,53.602651,"Medio",0.839343,319315978,63568724,22432428,40766547,40739966,1534725,138729419,3117453,319315978,3461720,0,6162902,699192,5651834,122559563,180780767,0,8426716,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campeche","Palizada","04007",2018,8683,17008.503858,0.041972,1.40135,0.019355,1.228951,0.973921,17008.503858,319.029828,0.018757,"rural",8.46,3919,2811,3889,30,1231,7440,7.831809,34.280212,2.314815,2.12963,18.252315,3.80787,34.966415,100,84.96,52.760302,"Medio",0.826153,147684839,90127198,7090158,23626847,12411167,123500,11535833,2770136,147684839,3513001,0,1428696,863213,232006,113526721,24269686,3851516,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campeche","Tenabo","04008",2018,11452,10095.598935,0.07807,1.174149,0.013747,0.947931,0.99099,10095.598935,282.655868,0.027998,"transición_rural-urbano",8.75,5825,3158,5766,59,2125,9325,8.777618,32.913064,8.648885,0.961959,0.743332,1.058155,35.261436,23.611596,83.21122,55.182008,"Bajo",0.864073,115614799,52523485,14379238,18374705,13001176,312143,13787077,3236975,115614799,1807677,0,832152,285153,6019734,75491795,30136569,1041719,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campeche","Escárcega","04009",2018,59923,5903.570899,0.061536,4.934709,0.02712,2.916623,1,5903.570899,59.081538,0.010008,"urbano",8.18,29123,16091,28855,268,13457,46415,8.924556,38.789618,3.224777,1.29159,1.785384,4.865718,35.77367,47.641139,81.257603,54.890296,"Bajo",0.859506,353759679,137812675,13557006,44850978,29643227,506395,118469978,3540343,353759679,9601212,0,7044416,245061,4878284,155951077,176039629,0,5379077,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
