"nom_ent","nom_mun","mun_inegi","anio","pobtot_mun","cs_revenue_perCapita","cs_total_general_fund","cs_intergov_revs_total_revs","cs_propety_tax_total_revs","bs_operating_exp","bs_operating_balance","bs_expenditure_perCapita","lrs_direct_long_term_debt_pobtot","lrs_debt_service_total_rev","mun_tipo","graproes_mun","per_pea_mpio","per_pea_edo","per_desocupada_mpio","per_desocupada_edo","imn_2020_mpio","ime_2020_edo","po2sm","pder_ss","pea","pe_inac","pocupada","pdesocup","psinder","analf","sbasc","ovsde","ovsee","ovsae","ovpt","vhac","pl.5000","im_2020","gm_2020","egresos_total_de_egresos","egresos_servicios_personales","egresos_materiales_y_suministros","egresos_servicios_generales","egresos_transferencias_asignaciones_subsidios_y_otras_ayudas","egresos_bienes_muebles_inmuebles_e_intangibles","egresos_inversion_publica","egresos_deuda_publica","egresos_inversiones_financieras_y_otras_provisiones","ingresos_total_de_ingresos","ingresos_impuestos","ingresos_contribuciones_de_mejoras","ingresos_derechos","ingresos_productos","ingresos_aprovechamientos","ingresos_participaciones_federales","ingresos_aportaciones_federales_y_estatales","ingresos_financiamiento","egresos_disponibilidad_final","egresos_otros_egresos","ingresos_otros_ingresos","ingresos_disponibilidad_inicial","prop_corrup_percepcion","prop_corrup_incidencia","prop_corrup_incidencia_5años","pib_edo","graproes_edo","pobtot_edo","pib_percapita_edo"
"Chiapas","San Cristóbal de las Casas",7078,2018,215874,3058.693372,0.15296,4.703098,"8.3462999999999996E-2",3.140812,1,3058.693372,"215.42774","7.0430999999999994E-2",3,9.4,0.5324494844214681,53.425000000000004,0.0084632702409739,2.782937115,0.874266,0.441420071,77.109557,119011,114942,50699,113115,1827,96596,9.223525,38.39559,0.549386,0.431308,6.548853,10.419224,25.150488,14.992542,55.832904,"Bajo",660292373,237580448,54187188,81739001,30509076,4510148,189513250,46505248,0,660292373,55109778,1265295,17280094,8119939,19222985,230749388,328544894,0,15748014,0,0,0,40.6819585355094,7.14285714285714,20.7026689153329,267664.128,9.6675,1285802,0.20816900891428075
"Chiapas","Tapachula",7089,2018,353706,3609.090225,0.075932,4.585801,"4.2194000000000002E-2",3.011735,0.892707,3609.090225,"90.49624","2.5075E-2",3,9.33,0.4699270015210372,53.425000000000004,0.011342753586311795,2.782937115,0.869235,0.441420071,78.625529,199892,166216,104275,162204,4012,150537,6.892005,34.108227,0.920534,0.740348,8.141519,10.365625,28.433279,31.927081,55.511664,"Bajo",1276556867,389516706,80835371,221247546,40706558,22060237,490181386,32009063,0,1276556867,54500468,4156465,20620679,4286606,2966827,594371903,458688371,136965548,0,0,0,0,66.0698957694665,10.5990783410138,30.4341497624813,267664.128,9.6675,1285802,0.20816900891428075
"Chiapas","Tuxtla Gutiérrez",7101,2018,604147,3894.746717,0.214192,0.387662,"NA",0.323444,1,3894.746717,"252.991308","6.4957000000000001E-2",3,11.04,0.5107962135043292,53.425000000000004,0.012442336053973619,2.782937115,0.913616,0.441420071,69.091456,355633,308596,174850,301079,7517,246148,3.768561,23.413125,0.142281,0.23819100000000001,5.810844,2.421689,21.374489,1.597459,58.345897,"Muy bajo",2352999545,1033129563,99534696,410046757,352405572,17747470,158298116,152843940,0,2352999545,307839642,0,53553499,30396824,112203354,1359948913,489057313,0,128993431,0,0,0,52.3599484530681,15.3419593345656,17.6388014689567,267664.128,9.6675,1285802,0.20816900891428075
"Chihuahua","Cuauhtémoc",8017,2018,180638,3472.149254,0.296326,1.325969,"0.14662",0.954595,1,3472.149254,"NA","NA",3,9.4,0.48823614078986705,62.45,0.007362791882106755,3.1533520425,0.935681,0.73634446,51.342075,156414,88194,54275,86864,1330,23702,1.806988,35.323917,0.23583200000000001,0.14362,0.405714,0.336467,11.06626,19.296051,59.755079,"Muy bajo",627202097,166397247,44471423,80252226,77352739,112858629,129416243,0,0,627202097,93080315,401936,51881938,4257914,20666713,265971174,138406987,0,16453590,0,52535120,0,33.8264543386415,NA,9.62129147950215,564077.669,10.308,2897930,0.19464847977694424
"Chihuahua","Chihuahua",8019,2018,937674,3641.5846,0.429327,48.387143,"0.27470299999999997",55.42019,0.962221,3641.5846,"173.85033100000001","4.7739999999999998E-2",3,11.42,0.5223990427376679,62.45,0.009664339631897653,3.1533520425,0.957119,0.73634446,42.117343,832400,489840,277652,480778,9062,102281,1.017294,16.414407,0.10327,0.093713,0.861081,0.521494,8.458509,1.270378,61.124135,"Muy bajo",3414619198,1198853561,232049223,716645306,621935222,132320202,337611094,163014935,0,3414619198,990705476,47282629,324679375,24347032,23589161,1174799957,700215568,129000000,12189655,0,0,0,54.3178884643877,15.032679738562,15.7209019181875,564077.669,10.308,2897930,0.19464847977694424
"Chihuahua","Delicias",8021,2018,150506,4070.764827,0.255123,6.425342,"NA",5.494909,0.961354,4070.764827,"NA","NA",3,10.2,0.496611430773524,62.45,0.010497920348690418,3.1533520425,0.93676,0.73634446,59.781588,130482,74743,45876,73163,1580,19931,1.861245,24.163964,0.165256,0.151263,0.260545,0.324522,12.804622,10.317861,59.823932,"Muy bajo",612674531,218769654,38483978,114851667,107158555,5440248,127970429,0,0,612674531,83277163,3574652,51974604,148650,10052326,250147833,184964708,23677448,0,0,4857147,0,33.9913748642034,5.88235294117647,10.8474626511738,564077.669,10.308,2897930,0.19464847977694424
"Chihuahua","Hidalgo del Parral",8032,2018,116662,4054.765056,0.254087,2.026411,"8.7239999999999998E-2",1.434143,0.96263,4054.765056,"2.6636440000000001","6.5700000000000003E-4",2,10.34,0.4665358042893144,62.45,0.011246164132279577,3.1533520425,0.93619,0.73634446,60.510618,102624,54427,38674,53115,1312,13883,1.742672,24.863874,0.342312,0.261261,0.421639,0.849255,13.509656,2.416382,59.787544,"Muy bajo",473037001,164872306,16133769,59379022,31515054,11564350,189261754,310746,0,473037001,41475626,5950,31006029,1487619,41725708,250749400,88909169,17677500,0,0,0,0,39.0359753339206,8.33333333333333,2.79037983333649,564077.669,10.308,2897930,0.19464847977694424
"Chihuahua","Juárez",8037,2018,1512450,3058.31273,0.405226,22.688775,"0.22631299999999999",24.316927,0.997884,3058.31273,"10.827691","3.5400000000000002E-3",3,10.18,0.519061125987636,62.45,0.007347680915071573,3.1533520425,0.924918,0.73634446,82.747237,1225002,785054,424859,773941,11113,281293,1.334995,24.000327,0.087587,0.062317,0.473703,0.754018,15.115996,0.720619,59.067684,"Muy bajo",4625545089,1839393974,222975944,879966951,813877862,68898958,776542685,16376342,7512373,4625545089,1176189651,0,504691028,69402484,120141440,1465822564,1279508612,9789310,0,0,0,0,41.0725257236875,11.6564417177914,10.1299985936702,564077.669,10.308,2897930,0.19464847977694424
"Durango","Durango",10005,2018,688697,3549.880993,0.307527,153.736944,"0.16858500000000001",158.027083,0.964966,3549.880993,"97.483166999999995","2.7460999999999999E-2",3,10.74,0.48712714009208696,60.400000000000006,0.012109824785065131,4.2908864,0.933112,0.679596053,65.985844,512753,335483,204076,327143,8340,173476,1.403445,19.062776,0.466705,0.231878,0.69448,2.03054,12.648799,10.545857,59.591015,"Muy bajo",2444792390,932998301,157455616,588775680,332490863,28317714,337617851,67136365,0,2444792390,472815996,0,178603087,16223037,57857772,1023754963,609886699,85650836,0,0,0,0,45.1974890137778,15.321252059308,14.1363198101312,202272.029,10.273333333333333,1224760,0.16515238005813385
"Durango","Gómez Palacio",10007,2018,372750,3141.189242,0.274796,274.696298,"9.9098000000000006E-2",230.327603,1,3141.189242,"197.71181999999999","6.2941999999999998E-2",3,10.11,0.4607511737089202,60.400000000000006,0.013228705566733735,4.2908864,0.928133,0.679596053,67.127221,293572,171745,117760,166814,4931,78399,1.656165,24.240283,0.589206,0.080073,0.20127,1.134633,14.480221,19.049765,59.273039,"Muy bajo",1170878290,396827587,78591886,236555853,234087847,8000272,84211206,73697081,0,1170878290,124871529,0,151913103,4175857,40792538,540409165,308716098,0,58906558,0,0,0,40.7060582769961,12.8155339805825,13.3154978024077,202272.029,10.273333333333333,1224760,0.16515238005813385
"Durango","Lerdo",10012,2018,163313,3180.476625,0.211313,23.821473,"0.101428",19.476735,1,3180.476625,"17.376614","5.4640000000000001E-3",3,9.97,0.46312296020525007,60.400000000000006,0.011793304880811694,4.2908864,0.920787,0.679596053,64.249905,122110,75634,51902,73708,1926,40885,2.116914,27.569116,1.174462,0.183663,0.574946,1.296707,16.295599,31.258381,58.803879,"Muy bajo",519413179,207891967,36172605,90873943,88673925,10906791,71214219,2837827,0,519413179,53669742,0,41092748,257915,14738459,234920395,174733920,0,10841902,0,0,0,41.2605361556499,8.48484848484848,13.6749947609844,202272.029,10.273333333333333,1224760,0.16515238005813385
"Guanajuato","Celaya",11007,2018,521169,4238.446778,0.277125,28.302421,"0.13208300000000001",20.451476,1,4238.446778,"132.34866400000001","3.1226E-2",3,10.11,0.5039478556859676,60.900000000000006,0.008822474091897254,3.5970236275000005,0.921337,0.714424953,67.323344,393430,262642,154424,258044,4598,126329,3.367249,24.315219,0.225048,0.261098,1.268474,3.623878,13.144024,19.43266,58.838994,"Muy bajo",2208947069,634260144,122635945,244351549,352262571,33303477,609499880,68976021,0,2208947069,296457555,3679234,136141001,50606469,44309719,584791859,800816323,0,143657482,0,292144909,0,49.1026335295902,8.49673202614379,2.78179217254153,713090.078,9.324285714285715,3517967,0.20269947898885918
"Guanajuato","Guanajuato",11015,2018,194500,4455.953476,0.323279,46.366825,"7.9994999999999997E-2",49.485894,0.821556,4455.953476,"99.748067000000006","2.2384999999999999E-2",3,10.46,0.4923033419023136,60.900000000000006,0.011912596401028278,3.5970236275000005,0.916995,0.714424953,57.462348,166385,95753,59323,93436,2317,27808,3.313288,23.844989,2.333432,0.463628,3.967598,1.423401,14.504749,32.22365,58.561697,"Muy bajo",866682951,339390176,69698039,105169742,62316989,20509065,174602063,19400999,0,866682951,76396301,0,48423179,94440854,10923823,253480804,228363755,154654235,75595878,0,0,0,26.5099201670765,NA,NA,713090.078,9.324285714285715,3517967,0.20269947898885918
"Guanajuato","Irapuato",11017,2018,592953,3550.011411,0.267,292.163832,"0.116933",214.47144,0.859272,3550.011411,"183.35677999999999","5.1650000000000001E-2",3,9.66,0.4816536892468712,60.900000000000006,0.00839020967935064,3.5970236275000005,0.920114,0.714424953,62.880405,480249,285598,177369,280623,4975,112281,3.948427,27.591064,0.737627,0.130199,1.442099,1.954134,15.781358000000001,20.588647,58.760919,"Muy bajo",2104989916,542221790,126153235,304882859,369012867,83855923,569967987,108721953,0,2104989916,250267204,1559115,110812857,54583941,65715343,572562405,753258659,296230392,0,173302,0,0,39.3894530015526,7.14285714285714,NA,713090.078,9.324285714285715,3517967,0.20269947898885918
"Guanajuato","León",11020,2018,1721215,3483.517622,0.323184,325.816278,"0.18149199999999999",271.190657,0.991581,3483.517622,"108.76870099999999","3.1223999999999998E-2",3,9.75,0.5234226985007684,60.900000000000006,0.01014399711831468,3.5970236275000005,0.9251,0.714424953,59.160139,1333176,900923,454794,883463,17460,381804,3.323368,28.827704,0.229392,0.178953,4.096466,1.469603,14.516482,7.009002,59.079337,"Muy bajo",5995882784,1966452873,321378242,1061466793,882353738,126061397,1439486727,187214320,0,5995882784,1104636028,31214,363911280,205444723,247435508,2225334120,1798608998,50480913,0,11468694,0,0,41.8705763715015,6.79245283018867,5.64600019036999,713090.078,9.324285714285715,3517967,0.20269947898885918
